actor_first_name,actor_last_name,actor_gender,actor_role,movie_name,movie_year,movie_genre,direcor_first_name,director_last_name
Bill (II),Nelson,M,Court Clerk,12 Angry Men,1957,Crime,Sidney,Lumet
Bill (II),Nelson,M,Court Clerk,12 Angry Men,1957,Drama,Sidney,Lumet
James (V),Kelly,M,Guard,12 Angry Men,1957,Crime,Sidney,Lumet
James (V),Kelly,M,Guard,12 Angry Men,1957,Drama,Sidney,Lumet
Rudy,Bond,M,Judge,12 Angry Men,1957,Crime,Sidney,Lumet
Rudy,Bond,M,Judge,12 Angry Men,1957,Drama,Sidney,Lumet
Martin,Balsam,M,Juror #1,12 Angry Men,1957,Crime,Sidney,Lumet
Martin,Balsam,M,Juror #1,12 Angry Men,1957,Drama,Sidney,Lumet
Ed (I),Begley,M,Juror #10,12 Angry Men,1957,Crime,Sidney,Lumet
Ed (I),Begley,M,Juror #10,12 Angry Men,1957,Drama,Sidney,Lumet
George,Voskovec,M,Juror #11,12 Angry Men,1957,Crime,Sidney,Lumet
George,Voskovec,M,Juror #11,12 Angry Men,1957,Drama,Sidney,Lumet
Robert (I),Webber,M,Juror #12,12 Angry Men,1957,Crime,Sidney,Lumet
Robert (I),Webber,M,Juror #12,12 Angry Men,1957,Drama,Sidney,Lumet
John (I),Fiedler,M,Juror #2,12 Angry Men,1957,Crime,Sidney,Lumet
John (I),Fiedler,M,Juror #2,12 Angry Men,1957,Drama,Sidney,Lumet
Lee J.,Cobb,M,Juror #3,12 Angry Men,1957,Crime,Sidney,Lumet
Lee J.,Cobb,M,Juror #3,12 Angry Men,1957,Drama,Sidney,Lumet
E.G.,Marshall,M,Juror #4,12 Angry Men,1957,Crime,Sidney,Lumet
E.G.,Marshall,M,Juror #4,12 Angry Men,1957,Drama,Sidney,Lumet
Jack,Klugman,M,Juror #5,12 Angry Men,1957,Crime,Sidney,Lumet
Jack,Klugman,M,Juror #5,12 Angry Men,1957,Drama,Sidney,Lumet
Ed,Binns,M,Juror #6,12 Angry Men,1957,Crime,Sidney,Lumet
Ed,Binns,M,Juror #6,12 Angry Men,1957,Drama,Sidney,Lumet
Jack,Warden,M,Juror #7,12 Angry Men,1957,Crime,Sidney,Lumet
Jack,Warden,M,Juror #7,12 Angry Men,1957,Drama,Sidney,Lumet
Henry,Fonda,M,Juror #8,12 Angry Men,1957,Crime,Sidney,Lumet
Henry,Fonda,M,Juror #8,12 Angry Men,1957,Drama,Sidney,Lumet
Joseph (I),Sweeney,M,Juror #9,12 Angry Men,1957,Crime,Sidney,Lumet
Joseph (I),Sweeney,M,Juror #9,12 Angry Men,1957,Drama,Sidney,Lumet
John,Savoca,M,The Accused,12 Angry Men,1957,Crime,Sidney,Lumet
John,Savoca,M,The Accused,12 Angry Men,1957,Drama,Sidney,Lumet
Sheraton,Blount,F,,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
Sheraton,Blount,F,,2001: A Space Odyssey,1968,Sci-Fi,Stanley,Kubrick
Ann,Bormann,F,,2001: A Space Odyssey,1968,Adventure,Stanley,Kubrick
